CID,C
CID000000005,C11638
CID000000011,C06752
CID000000016,C04277
CID000000019,C00196
CID000000020,C04044
CID000000033,C06754
CID000000034,C06753
CID000000038,C00966
CID000000043,C02630
CID000000046,C04442
CID000000048,C00940
CID000000049,C00141
CID000000051,C00026
CID000000058,C00109
CID000000070,C00233
CID000000071,C00322
CID000000072,C00230
CID000000075,C05665
CID000000085,C00487
CID000000086,C00632
CID000000091,C11457
CID000000093,C00846
CID000000096,C00164
CID000000098,C00957
CID000000101,C03067
CID000000104,C03586
CID000000105,C03232
CID000000107,C05629
CID000000110,C05527
CID000000111,C02642
CID000000117,C05516
CID000000118,C00555
CID000000118,C02903
CID000000119,C00334
CID000000126,C00633
CID000000127,C00642
CID000000128,C03680
CID000000129,C02373
CID000000133,C01149
CID000000134,C01181
CID000000135,C00156
CID000000137,C00430
CID000000138,C00431
CID000000143,C03479
CID000000155,C05515
CID000000170,C00921
CID000000171,C16675
CID000000173,C01092
CID000000174,C01380
CID000000174,C15588
CID000000175,C00033
CID000000177,C00084
CID000000180,C00207
CID000000186,C00227
CID000000187,C01996
CID000000187,C08201
CID000000190,C00147
CID000000196,C06104
CID000000199,C00179
CID000000203,C00499
CID000000215,C01888
CID000000216,C04556
CID000000217,C04752
CID000000218,C01300
CID000000220,C06605
CID000000222,C00014
CID000000222,C01342
CID000000227,C00108
CID000000239,C00099
CID000000240,C00193
CID000000240,C00261
CID000000241,C01407
CID000000242,C00180
CID000000242,C00539
CID000000244,C00556
CID000000244,C03485
CID000000247,C00719
CID000000249,C00576
CID000000254,C02526
CID000000261,C01412
CID000000263,C06142
CID000000264,C00246
CID000000266,C02527
CID000000273,C01672
CID000000276,C01563
CID000000278,C00169
CID000000280,C00011
CID000000281,C00237
CID000000283,C00058
CID000000289,C00090
CID000000289,C01785
CID000000289,C15571
CID000000296,C00349
CID000000297,C01438
CID000000297,C06265
CID000000297,C19202
CID000000300,C06755
CID000000305,C00114
CID000000311,C00158
CID000000321,C03263
CID000000323,C05851
CID000000338,C00805
CID000000338,C07587
CID000000338,C19600
CID000000339,C03557
CID000000340,C02923
CID000000342,C01467
CID000000355,C03590
CID000000359,C02183
CID000000362,C06205
CID000000363,C06735
CID000000368,C06366
CID000000370,C01424
CID000000371,C03248
CID000000372,C03671
CID000000378,C03360
CID000000379,C06423
CID000000385,C02656
CID000000397,C02693
CID000000402,C00087
CID000000402,C00283
CID000000402,C20391
CID000000403,C02372
CID000000412,C06524
CID000000428,C00986
CID000000434,C20361
CID000000437,C19569
CID000000438,C19579
CID000000456,C00802
CID000000457,C02918
CID000000460,C01502
CID000000460,C15572
CID000000464,C01586
CID000000472,C01252
CID000000473,C01180
CID000000484,C05239
CID000000487,C02170
CID000000490,C03167
CID000000491,C01861
CID000000500,C01035
CID000000502,C00436
CID000000504,C06195
CID000000511,C03028
CID000000523,C00433
CID000000524,C03459
CID000000527,C00479
CID000000529,C00988
CID000000530,C00664
CID000000533,C01528
CID000000535,C01234
CID000000540,C01417
CID000000546,C05682
CID000000547,C01161
CID000000558,C03771
CID000000559,C02647
CID000000561,C15650
CID000000563,C08276
CID000000564,C02378
CID000000568,C07729
CID000000569,C03569
CID000000584,C06204
CID000000586,C00300
CID000000588,C00791
CID000000597,C00380
CID000000598,C03576
CID000000599,C01127
CID000000602,C01401
CID000000604,C00770
CID000000604,C00800
CID000000604,C15930
CID000000611,C00302
CID000000618,C00644
CID000000618,C02810
CID000000643,C01909
CID000000647,C00235
CID000000647,C17627
CID000000649,C00429
CID000000650,C00741
CID000000652,C01037
CID000000654,C06608
CID000000655,C06607
CID000000666,C04807
CID000000668,C00111
CID000000670,C00184
CID000000671,C03657
CID000000673,C01026
CID000000674,C00543
CID000000675,C03114
CID000000679,C11143
CID000000681,C03758
CID000000700,C00189
CID000000702,C00469
CID000000711,C01847
CID000000712,C00067
CID000000713,C00488
CID000000743,C00489
CID000000750,C00037
CID000000753,C00116
CID000000756,C00266
CID000000757,C00160
CID000000757,C03547
CID000000760,C00048
CID000000763,C00581
CID000000764,C00242
CID000000767,C00288
CID000000767,C01353
CID000000768,C00177
CID000000768,C01326
CID000000774,C00388
CID000000777,C01279
CID000000780,C00544
CID000000782,C05565
CID000000783,C00080
CID000000783,C00282
CID000000784,C00027
CID000000785,C00530
CID000000785,C15603
CID000000787,C00192
CID000000788,C01024
CID000000790,C00262
CID000000792,C01267
CID000000793,C05568
CID000000794,C03277
CID000000796,C05840
CID000000798,C00463
CID000000800,C00637
CID000000801,C00954
CID000000803,C00331
CID000000811,C00490
CID000000867,C00383
CID000000867,C02028
CID000000867,C04025
CID000000868,C00222
CID000000870,C00464
CID000000878,C00409
CID000000880,C00546
CID000000887,C00132
CID000000890,C01204
CID000000892,C00137
CID000000892,C06151
CID000000892,C06152
CID000000892,C06153
CID000000892,C19891
CID000000893,C03920
CID000000896,C01598
CID000000903,C00978
CID000000908,C02718
CID000000931,C00829
CID000000936,C00153
CID000000937,C00253
CID000000942,C16150
CID000000943,C00244
CID000000947,C00697
CID000000948,C00887
CID000000955,C02730
CID000000961,C00001
CID000000961,C01328
CID000000964,C00168
CID000000967,C00295
CID000000970,C00036
CID000000971,C00209
CID000000972,C05379
CID000000974,C01444
CID000000977,C00007
CID000000978,C00568
CID000000979,C01179
CID000000980,C00870
CID000000983,C00404
CID000000983,C00536
CID000000983,C02174
CID000000984,C00517
CID000000985,C00249
CID000000991,C06604
CID000000996,C00146
CID000000996,C15584
CID000000997,C00166
CID000000998,C00601
CID000000999,C07086
CID000001001,C05332
CID000001003,C00009
CID000001005,C00074
CID000001014,C00588
CID000001015,C00346
CID000001018,C10164
CID000001021,C00931
CID000001023,C00013
CID000001028,C00254
CID000001030,C00583
CID000001031,C05979
CID000001032,C00163
CID000001045,C00134
CID000001045,C02896
CID000001050,C00250
CID000001050,C18210
CID000001051,C00018
CID000001052,C00534
CID000001053,C00647
CID000001054,C00314
CID000001055,C00627
CID000001057,C01108
CID000001060,C00022
CID000001066,C03722
CID000001068,C00580
CID000001084,C00320
CID000001084,C05529
CID000001088,C00213
CID000001089,C05697
CID000001090,C05684
CID000001099,C00094
CID000001099,C11481
CID000001099,C20393
CID000001102,C00315
CID000001103,C00750
CID000001110,C00042
CID000001112,C00232
CID000001117,C00059
CID000001117,C20392
CID000001119,C09306
CID000001122,C01146
CID000001123,C00245
CID000001130,C00378
CID000001131,C01081
CID000001132,C00068
CID000001135,C00178
CID000001136,C04294
CID000001137,C04327
CID000001140,C01455
CID000001145,C01104
CID000001146,C00565
CID000001150,C00398
CID000001174,C00106
CID000001175,C00366
CID000001176,C00086
CID000001179,C01051
CID000001183,C00755
CID000001188,C00385
CID000001194,C04092
CID000001198,C00311
CID000001245,C05584
CID000001647,C05670
CID000001669,C05587
CID000001678,C05669
CID000001678,C16004
CID000001738,C05582
CID000001826,C05635
CID000001833,C05659
CID000001864,C05643
CID000002153,C07130
CID000002181,C06180
CID000002265,C06837
CID000002331,C09815
CID000002336,C07535
CID000002353,C00757
CID000002353,C12679
CID000002519,C07481
CID000002554,C06868
CID000002555,C07496
CID000002682,C00823
CID000002707,C06899
CID000002758,C09844
CID000002771,C07572
CID000002879,C01468
CID000002907,C06933
CID000002907,C07888
CID000002969,C01571
CID000003035,C04596
CID000003036,C04623
CID000003121,C07185
CID000003314,C10453
CID000003331,C07501
CID000003385,C07649
CID000003414,C06456
CID000003469,C00628
CID000003503,C07667
CID000003614,C05127
