ENSP,ID
ENSP00000002165,3.2.1.51
ENSP00000002596,2.8.2.23
ENSP00000010404,2.5.1.18
ENSP00000013034,2.7.4.6
ENSP00000013222,2.1.1.49
ENSP00000013222,2.1.1.96
ENSP00000017003,2.4.2.26
ENSP00000029410,2.4.1.133
ENSP00000035307,2.4.1.226
ENSP00000040663,5.3.1.23
ENSP00000074304,3.1.3.66
ENSP00000156626,2.4.3.3
ENSP00000164139,2.4.1.1
ENSP00000166534,1.14.11.2
ENSP00000168216,1.1.1.35
ENSP00000168216,1.1.1.53
ENSP00000168216,1.1.1.62
ENSP00000168216,1.1.1.159
ENSP00000168216,1.1.1.178
ENSP00000168216,1.1.1.239
ENSP00000168977,2.7.1.22
ENSP00000168977,2.7.1.173
ENSP00000169298,2.4.3.1
ENSP00000175506,6.3.5.4
ENSP00000178638,4.2.1.1
ENSP00000179259,3.1.3.46
ENSP00000180173,3.1.3.64
ENSP00000182377,1.2.1.84
ENSP00000196061,1.14.11.4
ENSP00000196371,2.8.3.5
ENSP00000198801,2.3.1.22
ENSP00000199936,1.1.1.62
ENSP00000199936,1.1.1.239
ENSP00000201586,2.8.2.2
ENSP00000205402,1.8.1.4
ENSP00000207870,2.7.1.17
ENSP00000209668,1.1.1.1
ENSP00000210444,2.5.1.56
ENSP00000210444,2.5.1.57
ENSP00000211122,2.5.1.18
ENSP00000215567,1.3.1.93
ENSP00000215885,3.1.1.4
ENSP00000215904,3.1.3.16
ENSP00000215904,3.1.3.74
ENSP00000216075,1.13.99.1
ENSP00000216117,1.14.14.18
ENSP00000216180,2.3.1.51
ENSP00000216180,3.1.1.3
ENSP00000216180,3.1.1.4
ENSP00000216254,4.2.1.3
ENSP00000216259,5.4.2.8
ENSP00000216264,2.7.1.138
ENSP00000216271,3.5.1.48
ENSP00000216271,3.5.1.62
ENSP00000216392,2.4.1.1
ENSP00000216410,2.3.1.4
ENSP00000216484,2.3.1.50
ENSP00000216780,4.1.1.32
ENSP00000216862,1.14.15.16
ENSP00000216962,2.4.1.1
ENSP00000217426,3.13.2.1
ENSP00000217455,3.1.2.1
ENSP00000217455,3.1.2.2
ENSP00000217455,3.1.2.3
ENSP00000217455,3.1.2.5
ENSP00000217455,3.1.2.11
ENSP00000217455,3.1.2.27
ENSP00000218006,4.6.1.2
ENSP00000218516,3.2.1.22
ENSP00000218758,3.1.3.2
ENSP00000219054,6.2.1.2
ENSP00000219054,6.2.1.25
ENSP00000219240,1.3.5.2
ENSP00000219302,2.7.4.6
ENSP00000219334,3.1.4.12
ENSP00000219479,2.7.4.6
ENSP00000219700,1.14.14.18
ENSP00000219789,2.7.8.11
ENSP00000220244,3.2.1.35
ENSP00000220562,2.4.1.223
ENSP00000220584,2.5.1.21
ENSP00000221130,1.8.1.7
ENSP00000221307,1.14.14.1
ENSP00000221307,1.14.14.79
ENSP00000221307,1.14.14.94
ENSP00000221403,1.1.1.179
ENSP00000221403,1.3.1.20
ENSP00000221476,2.7.3.2
ENSP00000221700,1.14.14.1
ENSP00000221700,1.14.14.78
ENSP00000221700,1.14.14.79
ENSP00000221700,1.14.14.94
ENSP00000221730,3.3.2.10
ENSP00000222002,2.8.2.2
ENSP00000222002,2.8.2.14
ENSP00000222214,1.3.8.6
ENSP00000222286,1.2.1.12
ENSP00000222381,3.1.1.2
ENSP00000222381,3.1.1.81
ENSP00000222381,3.1.8.1
ENSP00000222382,1.14.14.1
ENSP00000222553,2.4.2.12
ENSP00000222572,3.1.1.2
ENSP00000222572,3.1.1.81
ENSP00000222673,1.2.4.2
ENSP00000222725,2.4.1.222
ENSP00000222982,1.14.14.1
ENSP00000223026,3.2.1.35
ENSP00000223114,2.3.1.20
ENSP00000223114,2.3.1.22
ENSP00000223122,2.4.1.122
ENSP00000223127,1.14.11.4
ENSP00000223127,2.4.1.50
ENSP00000223127,2.4.1.66
ENSP00000223366,2.7.1.1
ENSP00000225276,2.4.3.3
ENSP00000225371,1.11.1.7
ENSP00000225573,1.4.3.5
ENSP00000225609,3.5.1.89
ENSP00000225614,2.7.1.6
ENSP00000225740,1.2.1.5
ENSP00000226253,4.1.2.13
ENSP00000226279,2.4.99.20
ENSP00000226279,3.2.2.6
ENSP00000226299,3.4.11.1
ENSP00000226299,3.4.11.5
ENSP00000226299,3.4.13.23
ENSP00000226444,2.8.2.4
ENSP00000226840,2.6.1.4
ENSP00000226840,2.6.1.7
ENSP00000226840,2.6.1.39
ENSP00000226840,2.6.1.63
ENSP00000226840,2.6.1.73
ENSP00000227495,2.4.3.2
ENSP00000227495,2.4.3.4
ENSP00000227495,2.4.3.6
ENSP00000227756,2.4.1.41
ENSP00000228027,2.3.1.20
ENSP00000228027,2.3.1.76
ENSP00000228476,1.4.3.3
ENSP00000228510,2.7.1.36
ENSP00000228606,1.14.15.18
ENSP00000228740,3.3.2.6
ENSP00000228740,3.4.11.4
ENSP00000229266,2.7.8.2
ENSP00000229277,4.2.1.11
ENSP00000229319,1.1.1.27
ENSP00000229329,2.7.7.43
ENSP00000230036,3.1.4.50
ENSP00000230053,2.4.1.135
ENSP00000230792,3.6.1.22
ENSP00000231420,2.6.1.40
ENSP00000231420,2.6.1.44
ENSP00000231887,1.1.1.35
ENSP00000231887,4.2.1.17
ENSP00000231887,5.3.3.8
ENSP00000232375,2.7.1.105
ENSP00000232375,3.1.3.46
ENSP00000232607,2.4.2.10
ENSP00000232607,4.1.1.23
ENSP00000232892,3.1.1.3
ENSP00000233627,7.1.1.2
ENSP00000233710,1.3.8.8
ENSP00000233714,2.5.1.18
ENSP00000233838,4.1.1.90
ENSP00000233840,3.2.1.18
ENSP00000234111,4.1.1.17
ENSP00000234454,1.1.1.153
ENSP00000234590,4.2.1.11
ENSP00000235628,3.1.3.5
ENSP00000235628,3.1.3.89
ENSP00000235628,3.1.3.99
ENSP00000236959,2.1.2.3
ENSP00000236959,3.5.4.10
ENSP00000238618,3.6.1.7
ENSP00000238651,3.1.2.2
ENSP00000239231,2.7.1.33
ENSP00000239891,2.4.1.117
ENSP00000241052,1.11.1.6
ENSP00000241337,2.5.1.18
ENSP00000242375,1.3.1.3
ENSP00000242592,1.3.8.1
ENSP00000243052,3.1.4.17
ENSP00000243501,3.1.1.4
ENSP00000243776,2.4.1.175
ENSP00000243776,2.4.1.226
ENSP00000244007,3.1.4.11
ENSP00000244043,4.2.1.152
ENSP00000244043,5.3.99.4
ENSP00000244217,5.1.99.1
ENSP00000245206,2.6.1.1
ENSP00000245206,2.6.1.7
ENSP00000245222,2.7.1.91
ENSP00000246166,2.5.1.58
ENSP00000246337,4.1.1.37
ENSP00000247194,4.2.1.77
ENSP00000247933,3.2.1.76
ENSP00000248041,1.14.14.1
ENSP00000248041,1.14.14.78
ENSP00000248041,1.14.14.79
ENSP00000248041,1.14.14.80
ENSP00000249005,2.4.1.228
ENSP00000249042,2.8.1.1
ENSP00000249750,1.2.1.36
ENSP00000250018,1.14.16.4
ENSP00000250535,1.13.11.20
ENSP00000250615,2.3.1.87
ENSP00000250974,3.1.2.22
ENSP00000251363,2.3.1.24
ENSP00000251535,1.13.11.31
ENSP00000251535,1.13.11.33
ENSP00000251566,2.4.1.17
ENSP00000251810,1.17.4.1
ENSP00000252029,2.4.2.4
ENSP00000252318,2.4.1.41
ENSP00000252599,2.4.1.50
ENSP00000252675,2.4.1.65
ENSP00000252675,2.4.1.152
ENSP00000252945,1.14.13.n7
ENSP00000252945,1.14.14.1
ENSP00000253004,6.3.4.5
ENSP00000253778,2.6.1.16
ENSP00000253792,2.3.3.8
ENSP00000253799,1.4.3.21
ENSP00000253801,3.1.3.9
ENSP00000254035,2.7.3.2
ENSP00000254090,1.6.3.1
ENSP00000254090,1.14.13.8
ENSP00000254190,2.4.1.175
ENSP00000254190,2.4.1.226
ENSP00000254235,4.6.1.1
ENSP00000254521,1.1.1.62
ENSP00000254521,1.1.1.210
ENSP00000254521,1.1.1.270
ENSP00000254663,4.4.1.16
ENSP00000254759,2.1.1.64
ENSP00000254759,2.1.1.114
ENSP00000254854,4.6.1.2
ENSP00000254908,4.2.1.96
ENSP00000255084,1.2.1.3
ENSP00000255189,1.5.8.4
ENSP00000255192,2.1.1.10
ENSP00000255266,3.1.4.35
ENSP00000255389,2.1.1.17
ENSP00000255389,2.1.1.71
ENSP00000255688,3.1.1.4
ENSP00000255688,3.1.1.32
ENSP00000256593,2.5.1.18
ENSP00000256594,2.5.1.18
ENSP00000256720,3.1.3.4
ENSP00000256722,2.7.4.6
ENSP00000256722,2.7.4.14
ENSP00000256997,3.1.3.2
ENSP00000256999,3.4.17.21
ENSP00000257549,4.3.1.17
ENSP00000257549,4.3.1.19
