chemical,protein,combined_score
CID000065533,ENSP00000002165,0.214
CID000017106,ENSP00000002165,0.948
CID000065369,ENSP00000002165,0.356
CID000440658,ENSP00000002165,0.176
CID000000961,ENSP00000002165,0.9
CID000000283,ENSP00000002165,0.306
CID000006057,ENSP00000002165,0.357
CID000439174,ENSP00000002165,0.448
CID000000887,ENSP00000002165,0.9
CID000439236,ENSP00000002165,0.222
CID000006579,ENSP00000002165,0.26
CID000000753,ENSP00000002165,0.301
CID000003469,ENSP00000002165,0.164
CID000105024,ENSP00000002165,0.357
CID000017473,ENSP00000002165,0.177
CID000439195,ENSP00000002165,0.177
CID000018950,ENSP00000002165,0.327
CID000007244,ENSP00000002165,0.179
CID000000783,ENSP00000002596,0.9
CID000000712,ENSP00000002596,0.15
CID000010214,ENSP00000002596,0.9
CID000159296,ENSP00000002596,0.989
CID000001117,ENSP00000002596,0.492
CID000010238,ENSP00000002596,0.516
CID000002336,ENSP00000002596,0.15
CID000094715,ENSP00000002596,0.207
CID000444795,ENSP00000002596,0.15
CID000000961,ENSP00000010404,0.9
CID000005957,ENSP00000010404,0.199
CID000000783,ENSP00000010404,0.9
CID000006830,ENSP00000010404,0.199
CID000033032,ENSP00000010404,0.9
CID000002519,ENSP00000010404,0.15
CID000000785,ENSP00000010404,0.15
CID000124886,ENSP00000010404,0.983
CID000006623,ENSP00000010404,0.7
CID000000991,ENSP00000010404,0.15
CID000005757,ENSP00000010404,0.15
CID000015625,ENSP00000010404,0.15
CID000063090,ENSP00000010404,0.15
CID000105131,ENSP00000010404,0.9
CID000107744,ENSP00000010404,0.9
CID000000753,ENSP00000010404,0.182
CID000445049,ENSP00000010404,0.447
CID005280360,ENSP00000010404,0.208
CID005280383,ENSP00000010404,0.167
CID005280493,ENSP00000010404,0.824
CID000003314,ENSP00000010404,0.15
CID000853433,ENSP00000010404,0.15
CID000002336,ENSP00000010404,0.15
CID000007839,ENSP00000010404,0.908
CID000155957,ENSP00000010404,0.9
CID000444795,ENSP00000010404,0.15
CID000006575,ENSP00000010404,0.9
CID011094749,ENSP00000010404,0.9
CID011954051,ENSP00000010404,0.9
CID011954053,ENSP00000010404,0.9
CID000108121,ENSP00000010404,0.9
CID003036760,ENSP00000010404,0.9
CID000037786,ENSP00000010404,0.9
CID000025892,ENSP00000010404,0.9
CID000041322,ENSP00000010404,0.15
CID000119521,ENSP00000010404,0.9
CID000006576,ENSP00000010404,0.9
CID000006577,ENSP00000010404,0.9
CID011954073,ENSP00000010404,0.9
CID000440117,ENSP00000013034,0.158
CID000000961,ENSP00000013034,0.9
CID000005957,ENSP00000013034,0.932
CID000000977,ENSP00000013034,0.201
CID000006022,ENSP00000013034,0.989
CID000001003,ENSP00000013034,0.93
CID000001023,ENSP00000013034,0.959
CID000000783,ENSP00000013034,0.9
CID000005884,ENSP00000013034,0.176
CID000000222,ENSP00000013034,0.9
CID000008977,ENSP00000013034,0.905
CID000006830,ENSP00000013034,0.927
CID000010214,ENSP00000013034,0.241
CID000005961,ENSP00000013034,0.9
CID000008583,ENSP00000013034,0.905
CID000006831,ENSP00000013034,0.905
CID000015993,ENSP00000013034,0.9
CID000188966,ENSP00000013034,0.9
CID000033032,ENSP00000013034,0.9
CID000006274,ENSP00000013034,0.241
CID000000702,ENSP00000013034,0.234
CID000000297,ENSP00000013034,0.15
CID000024316,ENSP00000013034,0.578
CID000146302,ENSP00000013034,0.9
CID000038166,ENSP00000013034,0.191
CID000007420,ENSP00000013034,0.156
CID000006031,ENSP00000013034,0.924
CID000005757,ENSP00000013034,0.15
CID000006176,ENSP00000013034,0.91
CID000006133,ENSP00000013034,0.906
CID000006030,ENSP00000013034,0.9
CID000006132,ENSP00000013034,0.923
CID000164628,ENSP00000013034,0.929
CID000009700,ENSP00000013034,0.9
CID000065063,ENSP00000013034,0.905
CID000065091,ENSP00000013034,0.9
CID000064968,ENSP00000013034,0.904
CID000065070,ENSP00000013034,0.914
CID000002907,ENSP00000013034,0.161
CID000006329,ENSP00000013034,0.641
CID000000679,ENSP00000013034,0.199
CID000000753,ENSP00000013034,0.33
CID000006076,ENSP00000013034,0.23
CID000065103,ENSP00000013034,0.921
CID000439220,ENSP00000013034,0.921
CID000145729,ENSP00000013034,0.909
CID000000533,ENSP00000013034,0.241
CID000105024,ENSP00000013034,0.241
CID000025076,ENSP00000013034,0.8
CID000161597,ENSP00000013034,0.15
CID000444485,ENSP00000013034,0.152
CID000002336,ENSP00000013034,0.15
CID000000784,ENSP00000013034,0.209
CID000006131,ENSP00000013034,0.9
CID000150855,ENSP00000013034,0.9
CID000444795,ENSP00000013034,0.15
CID000002353,ENSP00000013034,0.8
CID000000961,ENSP00000013222,0.9
CID000000977,ENSP00000013222,0.9
CID000000783,ENSP00000013222,0.9
CID000005884,ENSP00000013222,0.9
CID000005885,ENSP00000013222,0.903
CID000000712,ENSP00000013222,0.9
CID000006322,ENSP00000013222,0.176
CID000034755,ENSP00000013222,0.9
CID000000249,ENSP00000013222,0.167
CID000439155,ENSP00000013222,0.99
CID000439176,ENSP00000013222,0.169
CID000006031,ENSP00000013222,0.9
CID000001150,ENSP00000013222,0.978
CID011953815,ENSP00000013222,0.222
CID000001015,ENSP00000013222,0.248
CID000439436,ENSP00000013222,0.167
CID000151438,ENSP00000013222,0.176
CID000006088,ENSP00000013222,0.199
CID000441066,ENSP00000013222,0.258
CID000089594,ENSP00000013222,0.9
CID000017473,ENSP00000013222,0.9
CID000005202,ENSP00000013222,0.9
CID000041322,ENSP00000013222,0.15
CID023724458,ENSP00000017003,0.9
CID000000783,ENSP00000017003,0.9
CID023724459,ENSP00000017003,0.938
CID000006031,ENSP00000017003,0.923
CID000135191,ENSP00000017003,0.18
CID005462314,ENSP00000017003,0.18
CID023724458,ENSP00000029410,0.9
CID000000783,ENSP00000029410,0.9
CID000023930,ENSP00000029410,0.67
CID000001117,ENSP00000029410,0.209
CID023724459,ENSP00000029410,0.908
CID003086191,ENSP00000029410,0.181
CID000006031,ENSP00000029410,0.966
CID000007416,ENSP00000029410,0.174
CID000007005,ENSP00000029410,0.159
CID000017473,ENSP00000029410,0.175
CID000135191,ENSP00000029410,0.18
CID000035717,ENSP00000035307,0.167
CID000000783,ENSP00000035307,0.9
CID023724461,ENSP00000035307,0.9
CID000006031,ENSP00000035307,0.9
CID000005994,ENSP00000035307,0.15
CID000017473,ENSP00000035307,0.907
CID000094715,ENSP00000035307,0.182
CID000108121,ENSP00000035307,0.23
CID000000961,ENSP00000040663,0.9
CID000001003,ENSP00000040663,0.907
CID000000190,ENSP00000040663,0.904
CID000000473,ENSP00000040663,0.27
CID000439176,ENSP00000040663,0.922
CID000440041,ENSP00000040663,0.18
CID011988266,ENSP00000040663,0.9
CID000174549,ENSP00000040663,0.963
CID005462190,ENSP00000040663,0.165
CID000000561,ENSP00000040663,0.9
CID005280451,ENSP00000040663,0.182
CID000105024,ENSP00000040663,0.569
CID005280343,ENSP00000040663,0.15
CID000000961,ENSP00000074304,0.9
CID000005957,ENSP00000074304,0.9
CID000006022,ENSP00000074304,0.9
